國語,客語,音標,造句,備註
我,崖,ngai11,崖係客人,「崖」借字音。亦寫做人字旁加崖的下半部。
你,汝,n31,汝係麼人？,亦寫做「你」
他,佢,ki31,佢去百貨公司咧。,
我們,恩,恩等,en24,en11 nen24,恩這滿愛做麼介？,「恩」借字音，亦寫做人字旁加恩。和「崖等」的差別是「恩等」為包含聽話者之我們，「崖等」不含
你們,汝等,ngia53 nen33,汝等愛等下。,
你的,若,ngia33,若爸爸。,見史記漢高祖本記，「吾父即若父」
他的,厥,kia33,厥學校。,見詩經，如「聿修厥德」
兒子,孻,lai53,崖(ngai，我，此處借音)係厥孻。,
女兒,妹,moi53,崖係厥妹,
小孩,細人,se53 ngin11,細人愛煞猛讀書。,
比較,卡,khak2,崖卡好佢。,
可以,使得,sii31 tet2,崖使得去冇？,
本來,本成,pun31 shiang11,本成這邊有當多屋。,
這樣,恁仔（恁泥）,an31 ne31,恁仔做就著了。,
什麼,麼介,mak2 kai53,汝講麼介？,
和～、幫～,同～,thung11,同崖共下去。,
～著,～緊,kin31,企緊、放緊（為站著、放著之義）,
是,係,he53,佢係麼人？,
不是,唔係,m11 me53,佢唔係學生,
再,過,ko55,崖過同汝講一擺。,
怎麼,樣詢,ngiong31 sun11,,
很～,當～、恁～、搭～,tong33,an31,tap2,細妹恁靚。,
才,正,chiang33,吾天光正來燎。,
～完、～掉,～碧,phet2,飯食碧了。,「碧」為借字音
很～、一等～,一～,i53,這邊有一多人。,
尚未,未,mang11,mang5討輔娘。,「未」借字義，亦寫做上「亡」下「口」
想,愐,想,men31,siong31,汝有麼介愐法？,
追趕,踘,kiuk2,分人家踘出來。,
跟隨,跈,then11,大家跈崖行。,
沒有,冇,mo11,該邊冇麼介好燎。,
要,愛,oi53,崖愛去學校。,
住,待,tai53,汝待哪？,亦寫作「邸」
生,供,kiung53,供孻妹。,
叫做,安著,on33  to31,這個安著鯉魚。,
拿、撐,擎,khia11,擎遮去。,亦寫「夯」
給他,畀,pi31,樣詢會畀窿入去？,「分佢」的合音連讀
玩,燎,liau53,汝愛去哪位燎？,亦有人寫「料」、「嬲」，「燎」字出於周官
拜拜,拜揶,pai53 jia11,到廟方拜揶。,揶為兩手合十的動作
起來,亢來,hong53 loi11,朝唇亢來。,有亦有在左邊加足字旁的寫法
殺,chhi,chhi11,分人chhi5碧。,亦寫做左「犀」右「刀」
生病,破病,pho55 phiang53,厥姆破病。,生大病時用，小病用「甘苦」
裂開,必,pit2,必十字該邊。,
蓋,弇,kiem11,拿蓋弇緊。,
回(頭),斡,vat2,莫斡頭看。,
回（家）,轉,chion31,轉屋家,
剩下,賸,chhiun11,崖冇賸幾多錢了。,
誰,麼人,met2 ngin11,佢係麼人？,
男人,細孻,se55 lai53,佢係細孻。,
女人,細妹,se53 moi53,佢係細妹。,
眼淚,目汁,muk2 chip2,目汁緊流。,
老闆,頭家,theu11 ka33,頭家有在冇？,
肚子,肚笥,tu31 shi31,肚笥會疾。,
明天,天光,thien33 kong24,汝天光愛去哪？,
早上,朝唇,tseu24 shiun11,,
傘,遮,chia24,落雨的時節愛擎遮。,
頭,頭那,theu33 na11,頭那毛當長。,
晚上,暗晡、暗夜,am53 pu11, am55 ia53,崖天光暗晡愛去若屋家燎。,暗晡泛指晚上，暗夜專指今天晚上
屁股,shi胐,shi55 vut2,,shi有人寫作「尸」中一個「旨」
快,遽，拚,kiak2, piang53,大家遽遽來。行卡拚些。,
每一個～,逐～,tak2,逐儕總下愛食。,
到處,滿那,man33 ne53,滿那總下使得學。,
都、全部,總下、做下,tsung31 ha33, tso55 ha33,這總下使得食,
果然、真的,正經,chin53 kin33,佢正經當靚。,
對,著,chhiok5,冇唔著。,
從前,頭擺,theu11 pai53,頭擺有一個人。,
痛,疾,chhit5,頭那會疾。,東勢特殊用法，亦寫作「慼」
裡面,底方、底背、底肚,ti33 hong33, ti33 poi53,  ti33 tu53,廟底方。,
靈驗,興,hin33,這個廟真興。,
上（某一物的上面）,亢,hong33,山亢,「亢」亦有人寫「項」
真的,有影,jiu31 iang53,有影冇？,
現在,這滿,lia31 man24,佢這滿在哪？,
太陽,日頭,ngit2 theu11,,
月亮,月光,ngiet5 kong33,,
星星,星（子）,sen33(tsii31),,
流星,星滲屎，滲屎星,sen24 siap5 shi31, siap5 shi31 sen24,,
逆風,逆風，tshung風,ngiak5 fung33, tshung11 fung33,,
刮風,起風,khi31 fung33,,
打雷,響雷（公），打雷公,hiong31 lui11 (kung33), ta31 lui11 kung33,,
閃電,攝奶,ngiap2 nen53,,
毛毛雨,雨毛,ji31 mo24,,
濕而冷的濛濛細雨,蒙沙雪雨,mong11 sa24 siet2 ji31,,
下雨,落雨,lok5 ji31,,
淋雨,涿雨,tuk2 ji31,,
下雪,落雪,lok5 siet2,,
霧,蒙沙,mong11 sa33,,
彩虹,天弓,thien33 kiung33,,
天氣,天時,thien24 shi11,,
晴天,好天,ho31 thien33,,
陰天,烏陰天,vu33 jim33 thien33,,
淹水,做大水,tso55 thai55 shui31,,
田（有水的）,田,thien11,,
田（無水的）,埔,pu24,,
山坡,山崎，山排,san33 kia53, san24 phai11,,
山谷,山坑,san33 khang24,,
河堤,pok,pok2,,
河邊沙洲,草埔,tsho31 pu24,,
水池,水塘、陂塘,shui31 thong11, pi24 thong11,,
大石頭,石牯,shiak5 ku31,,
土磚,泥磚,ne11 chion33,,
灰塵,jiung塵,jiung24 shin11,,
塵土飛揚貌,jiung jia,jiung33 jia33,,
水泥,紅毛泥,fung11 mo24 ne11,,
